api_full_name,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.interpreters.mlir.ir.np.unwrap,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.unwrap/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.unwrap.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.unwrap.results.json
jax.interpreters.mlir.ir.np.vstack,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.vstack/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.vstack.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.vstack.results.json
jax.interpreters.mlir.ir.np.where,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.where/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.where.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.where.results.json
jax.interpreters.mlir.ir.np.zeros,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.zeros/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.zeros.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.zeros.results.json
jax.interpreters.mlir.ir.np.zeros_like,python,0.0006705918643795014,0.0,1,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.interpreters.mlir.ir.np.zeros_like/coverage.json,,,,0,False,json2init/results/jax/jax.interpreters.mlir.ir.np.zeros_like.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.interpreters.mlir.ir.np.zeros_like.results.json
jax.lax.abs,python,2.0057402663590884,2.0608,2293,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.abs/coverage.json,,,,0,False,json2init/results/jax/jax.lax.abs.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.abs.results.json
jax.lax.acos,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.acos/coverage.json,,,,0,False,json2init/results/jax/jax.lax.acos.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.acos.results.json
jax.lax.acosh,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.acosh/coverage.json,,,,0,False,json2init/results/jax/jax.lax.acosh.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.acosh.results.json
jax.lax.asin,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.asin/coverage.json,,,,0,False,json2init/results/jax/jax.lax.asin.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.asin.results.json
jax.lax.asinh,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.asinh/coverage.json,,,,0,False,json2init/results/jax/jax.lax.asinh.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.asinh.results.json
jax.lax.atan,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.atan/coverage.json,,,,0,False,json2init/results/jax/jax.lax.atan.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.atan.results.json
jax.lax.atanh,python,2.0325639409342684,2.1081,2317,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.atanh/coverage.json,,,,0,False,json2init/results/jax/jax.lax.atanh.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.atanh.results.json
jax.lax.bitwise_not,python,1.9896460616139806,2.0431,2275,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.bitwise_not/coverage.json,,,,0,False,json2init/results/jax/jax.lax.bitwise_not.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.bitwise_not.results.json
jax.lax.broadcast_in_dim,python,2.038599267713684,2.111,2325,115252,,,,,,stage4/results/jax-thesis-all-coverage/coverage_reports/per_api/python/jax.lax.broadcast_in_dim/coverage.json,,,,0,False,json2init/results/jax/jax.lax.broadcast_in_dim.init.json,stage4/results/jax-thesis-all-coverage/execution_results/jax.lax.broadcast_in_dim.results.json
