api_full_name,reason,coverage_scope,python_statement_percent,python_branch_percent,python_covered_lines,python_coverable_lines,native_line_percent,native_covered_lines,native_coverable_lines,native_branch_percent,native_function_percent,python_json_path,native_json_path,python_export_error,native_export_error,worker_exit_code,worker_timeout,init_json_path,results_json_path
jax.numpy.cbrt,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.ceil,selected_function_line_coverage_percent=57.1429 < 60,selected_function,,,4,7,,,,,,,,,,,,,
jax.numpy.choose,selected_function_line_coverage_percent=57.8947 < 60,selected_function,,,11,19,,,,,,,,,,,,,
jax.numpy.column_stack,selected_function_line_coverage_percent=42.8571 < 60,selected_function,,,3,7,,,,,,,,,,,,,
jax.numpy.concat,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.concatenate,selected_function_line_coverage_percent=10.5263 < 60,selected_function,,,2,19,,,,,,,,,,,,,
jax.numpy.conjugate,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.copysign,selected_function_line_coverage_percent=42.8571 < 60,selected_function,,,3,7,,,,,,,,,,,,,
jax.numpy.corrcoef,selected_function_line_coverage_percent=27.7778 < 60,selected_function,,,5,18,,,,,,,,,,,,,
jax.numpy.cos,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.cosh,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.count_nonzero,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.cumprod,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.cumsum,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.cumulative_prod,selected_function_line_coverage_percent=55.5556 < 60,selected_function,,,10,18,,,,,,,,,,,,,
jax.numpy.cumulative_sum,selected_function_line_coverage_percent=55.5556 < 60,selected_function,,,10,18,,,,,,,,,,,,,
jax.numpy.deg2rad,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.diff,selected_function_line_coverage_percent=54.7619 < 60,selected_function,,,23,42,,,,,,,,,,,,,
jax.numpy.digitize,selected_function_line_coverage_percent=58.3333 < 60,selected_function,,,7,12,,,,,,,,,,,,,
jax.numpy.divmod,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
jax.numpy.dstack,selected_function_line_coverage_percent=37.5 < 60,selected_function,,,3,8,,,,,,,,,,,,,
jax.numpy.ediff1d,selected_function_line_coverage_percent=41.6667 < 60,selected_function,,,5,12,,,,,,,,,,,,,
jax.numpy.equal,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.exp,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.exp2,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.expm1,selected_function_line_coverage_percent=25 < 60,selected_function,,,1,4,,,,,,,,,,,,,
jax.numpy.fabs,selected_function_line_coverage_percent=42.8571 < 60,selected_function,,,3,7,,,,,,,,,,,,,
jax.numpy.fft.fftshift,selected_function_line_coverage_percent=55.5556 < 60,selected_function,,,5,9,,,,,,,,,,,,,
jax.numpy.fft.ifftshift,selected_function_line_coverage_percent=55.5556 < 60,selected_function,,,5,9,,,,,,,,,,,,,
jax.numpy.flatnonzero,selected_function_line_coverage_percent=33.3333 < 60,selected_function,,,1,3,,,,,,,,,,,,,
jax.numpy.flip,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.flipud,selected_function_line_coverage_percent=50 < 60,selected_function,,,2,4,,,,,,,,,,,,,
jax.numpy.float_power,selected_function_line_coverage_percent=50 < 60,selected_function,,,3,6,,,,,,,,,,,,,
jax.numpy.floor,selected_function_line_coverage_percent=57.1429 < 60,selected_function,,,4,7,,,,,,,,,,,,,
jax.numpy.floor_divide,selected_function_line_coverage_percent=46.6667 < 60,selected_function,,,7,15,,,,,,,,,,,,,
jax.numpy.fmax,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.fmin,selected_function_line_coverage_percent=40 < 60,selected_function,,,2,5,,,,,,,,,,,,,
jax.numpy.fmod,selected_function_line_coverage_percent=55.5556 < 60,selected_function,,,5,9,,,,,,,,,,,,,
jax.numpy.frexp,selected_function_line_coverage_percent=50 < 60,selected_function,,,4,8,,,,,,,,,,,,,
